model,t,learned_mean,direct_mean,learned_m2,direct_m2,maximum_standardized_phi_error,phi_threshold,raw_field_mmd2,raw_mmd_threshold,downsampled_field_mmd2,downsampled_mmd_threshold,phi_gate_pass,raw_mmd_gate_pass,downsampled_mmd_gate_pass,learned_smooth_tv,direct_smooth_tv,learned_anisotropy,direct_anisotropy,learned_soft_area,direct_soft_area,learned_soft_perimeter,direct_soft_perimeter,learned_radial_power_low,direct_radial_power_low,learned_radial_power_middle,direct_radial_power_middle,learned_radial_power_high,direct_radial_power_high,projected_phi_residual_max,projected_ess_fraction,learned_field_minimum,learned_field_maximum
v8_control_C,0.0,0.12892622,0.12837516,0.027804283,0.027576933,0.06913851986660768,0.15636255023162426,0.005000710487365723,0.03301115036010742,0.0024976730346679688,0.016378784179687498,True,True,True,0.04892047,0.048567045,0.19800308,0.2056301,0.3592741,0.35837248,0.1831431,0.18226488,0.6230013370513916,0.6176924705505371,0.0027581958565860987,0.002802738919854164,3.4068340028170496e-05,3.346627636346966e-05,4.440892098500626e-16,0.9975790573905602,0.001086775679141283,0.4245336651802063
v8_control_C,0.046875,0.12890068,0.12833266,0.027150676,0.026985127,0.050344044378118236,0.22490745433772552,0.007059693336486816,0.03151533603668213,0.0028797388076782227,0.01714224815368652,True,True,True,0.047694173,0.048469774,0.20418678,0.18825647,0.3556651,0.35742393,0.18204296,0.18499191,0.6081438660621643,0.602924108505249,0.0025979469064623117,0.0026200299616903067,6.175914313644171e-05,0.00013647100422531366,6.417089082333405e-14,0.5154936373523501,-0.0048156119883060455,0.4244536757469177
v8_control_C,0.1015625,0.1289324,0.12896761,0.026588138,0.026884886,0.09024237077904451,0.20142681891223851,0.004688739776611328,0.02734978199005127,0.0031304359436035156,0.017247867584228516,True,True,True,0.0469655,0.050645687,0.21112509,0.17577037,0.35258093,0.36155835,0.18182799,0.1980893,0.5938805341720581,0.593340277671814,0.0025339305866509676,0.0027408418245613575,0.00015238964988384396,0.0005104267620481551,1.911248936892207e-12,0.24454449472467094,-0.023776594549417496,0.4685917794704437
v8_control_C,0.1484375,0.1290211,0.1283739,0.026254911,0.02672901,0.14417594472830642,0.34741647416660937,0.006843924522399902,0.03435525894165038,0.0016235113143920898,0.019447898864746092,True,True,True,0.046823744,0.053630244,0.21626961,0.15759882,0.35131878,0.3638982,0.18306771,0.22130679,0.5839329957962036,0.5795088410377502,0.002570836339145899,0.0030250742565840483,0.0002738502516876906,0.0010166969150304794,3.042011087472929e-14,0.3546343959878966,-0.04393117129802704,0.5068013072013855
v8_control_C,0.203125,0.12923348,0.12869982,0.02601753,0.026981156,0.29304371105007765,0.25847208921699233,0.006223559379577637,0.02898612022399902,0.0028361082077026367,0.01624188423156738,False,True,True,0.047064032,0.057820767,0.22045852,0.13223426,0.35134152,0.37259123,0.18723775,0.26553664,0.5747615098953247,0.5695327520370483,0.0027156879659742117,0.003607256570830941,0.0004521638620644808,0.001763977576047182,1.3528023146136547e-10,0.6242195028082835,-0.07090890407562256,0.5493737459182739
v8_control_C,0.25,0.12958746,0.12862016,0.025939895,0.02728543,0.4091842799547767,0.43463516050076734,0.00818169116973877,0.03417747020721435,0.0037497282028198242,0.016512537002563474,True,True,True,0.047518488,0.061658725,0.22323836,0.1270185,0.3527716,0.37968785,0.19366215,0.30664617,0.5692216753959656,0.5617855787277222,0.002893449505791068,0.004088824614882469,0.0006248447461985052,0.0024726444389671087,2.1312458464706197e-09,0.8877179247251857,-0.1014299988746643,0.5965120196342468
v8_control_C,0.296875,0.13000375,0.12773749,0.025937,0.027353914,0.43089082290819447,0.524267859362602,0.008143186569213867,0.025380659103393554,0.0028029680252075195,0.014310574531555176,True,True,True,0.04809455,0.06520618,0.2264624,0.1036212,0.35517386,0.38204354,0.20211306,0.34831852,0.5652869939804077,0.5481879115104675,0.003090569516643882,0.004711623303592205,0.000799249392002821,0.003182479413226247,3.002953441466616e-11,0.993636375842855,-0.14115893840789795,0.6500853300094604
v8_control_C,0.3515625,0.13054033,0.12747894,0.025982654,0.027734388,0.5327112250008231,0.33854088048823744,0.0080033540725708,0.028758859634399413,0.003448486328125,0.015244579315185545,False,True,True,0.04875561,0.06879233,0.23130839,0.09799104,0.35891423,0.38782772,0.21317902,0.38558254,0.5621550679206848,0.5410014390945435,0.0033048558980226517,0.005330775398761034,0.000986943836323917,0.003930205013602972,2.220446049250313e-16,0.9281996200150384,-0.2026141732931137,0.7085174322128296
v8_control_C,0.3984375,0.13099152,0.12749709,0.026050227,0.028189955,0.6507023530200761,0.3062081759821191,0.011311769485473633,0.030178618431091306,0.004289388656616211,0.013944149017333984,False,True,True,0.049222276,0.07133492,0.23710778,0.09618774,0.3628229,0.3918557,0.2221025,0.40518463,0.560837984085083,0.5408375859260559,0.003444815054535866,0.00571280624717474,0.0011165901087224483,0.004432416055351496,6.661338147750939e-16,0.6762316812879543,-0.24893510341644287,0.7508131265640259
v8_control_C,0.453125,0.13150217,0.12808017,0.026131943,0.028616354,0.7555220543204065,0.7437407277309689,0.008840799331665039,0.032349133491516115,0.002875089645385742,0.014166021347045898,False,True,True,0.049497135,0.07304981,0.24611956,0.09873824,0.3675539,0.3968146,0.22998755,0.42199227,0.5605167150497437,0.5425406694412231,0.003550864988937974,0.005984627641737461,0.0012158157769590616,0.004817183595150709,1.2212453270876722e-15,0.5585336141972833,-0.2921272814273834,0.7853736281394958
