model,start,horizon,stop,maximum_standardized_phi_error,low_frequency_power_relative_mean_error,low_frequency_power_mmd2,raw_field_mmd2,learned_field_minimum,learned_field_maximum
v8_control_C,0.0,0.0625,0.0625,0.12773006527742997,0.019367434084415436,0.017991065979003906,0.0032913684844970703,-0.015708187595009804,0.4367770552635193
v8_control_C,0.0,0.125,0.125,0.21644064633755952,0.009828503243625164,0.01045536994934082,0.004439711570739746,-0.03536747395992279,0.5571763515472412
v8_control_C,0.0,0.25,0.25,0.4673282015925846,0.008118409663438797,0.01505899429321289,0.005929708480834961,-0.06238413229584694,0.47266191244125366
v8_control_C,0.25,0.0625,0.3125,0.08765399677228218,9.175651939585805e-05,0.0050830841064453125,0.006534099578857422,-0.20767654478549957,0.5414184927940369
v8_control_C,0.25,0.125,0.375,0.23508331593602738,0.02964625507593155,0.007765412330627441,0.00560152530670166,-0.23424802720546722,0.5619812607765198
v8_control_C,0.25,0.25,0.5,0.034045348040696345,0.001304784556850791,0.0058242082595825195,0.006528377532958984,-0.28692618012428284,0.6106081008911133
v8_control_C,0.5,0.0625,0.5625,0.07081121685628541,0.009284761734306812,0.0029457807540893555,0.005594968795776367,-0.2393198013305664,0.5477059483528137
v8_control_C,0.5,0.125,0.625,0.03961024733823844,0.0005746351089328527,0.004236102104187012,0.0048449039459228516,-0.30484482645988464,0.5441979765892029
v8_control_C,0.5,0.25,0.75,0.16096260291464165,0.015004852786660194,0.004151344299316406,0.006215810775756836,-0.16240550577640533,0.5208948850631714
v8_control_C,0.75,0.0625,0.8125,0.2777007146361749,0.03462199866771698,0.005875587463378906,0.005932450294494629,-0.14118900895118713,0.44968900084495544
v8_control_C,0.75,0.125,0.875,0.16907324357161768,0.020907599478960037,0.008997201919555664,0.007951498031616211,-0.09765128791332245,0.41359835863113403
v8_control_C,0.75,0.25,1.0,0.374702031048531,0.03806539252400398,0.01784062385559082,0.0060100555419921875,-0.009140406735241413,0.3708188235759735
v9_global_spectral,0.0,0.0625,0.0625,0.07551531508866217,0.012897421605885029,0.011408686637878418,0.003228306770324707,-0.016663197427988052,0.4330562949180603
v9_global_spectral,0.0,0.125,0.125,0.3390391964069442,0.024817978963255882,0.05586671829223633,0.004666328430175781,-0.06720986217260361,0.5319811105728149
v9_global_spectral,0.0,0.25,0.25,0.78441445369477,0.028609145432710648,0.11767220497131348,0.007000446319580078,-0.13967835903167725,0.45795711874961853
v9_global_spectral,0.25,0.0625,0.3125,0.10168448278681977,0.0027314547915011644,0.0031508207321166992,0.006526947021484375,-0.21105168759822845,0.54246586561203
v9_global_spectral,0.25,0.125,0.375,0.2524690554227123,0.03252234309911728,0.020311832427978516,0.005631089210510254,-0.24459192156791687,0.5628955364227295
v9_global_spectral,0.25,0.25,0.5,0.0769912076634107,0.00794041994959116,0.011268258094787598,0.006658077239990234,-0.3126976490020752,0.5966755151748657
v9_global_spectral,0.5,0.0625,0.5625,0.07734623384575806,0.01013965718448162,0.004506468772888184,0.005555987358093262,-0.23803424835205078,0.5517622828483582
v9_global_spectral,0.5,0.125,0.625,0.043857741219025616,0.005993230734020472,0.007446169853210449,0.004791975021362305,-0.3140842318534851,0.53783118724823
v9_global_spectral,0.5,0.25,0.75,0.09492888754733081,0.002844722243025899,0.015392303466796875,0.0060939788818359375,-0.17991825938224792,0.5085673332214355
v9_global_spectral,0.75,0.0625,0.8125,0.29014580458235284,0.03609880432486534,0.00720369815826416,0.005944728851318359,-0.147422656416893,0.4560493230819702
v9_global_spectral,0.75,0.125,0.875,0.11715789494379876,0.014447802677750587,0.0026886463165283203,0.00795900821685791,-0.09824430197477341,0.4101022183895111
v9_global_spectral,0.75,0.25,1.0,0.38976041326045785,0.042944543063640594,0.030853748321533203,0.005697131156921387,-0.006857115775346756,0.3647727966308594
