step,training_mse_per_pixel,validation_mse_per_pixel,validation_normalized_fm_mse,gradient_norm_before_clip,learning_rate
1,0.11043056845664978,0.07224821276031435,1.8305230745322034,0.7040650248527527,0.0008
500,0.021627778187394142,0.021972229762468487,0.5567012946403964,0.13571320474147797,0.0007985027420616597
1000,0.01706380397081375,0.01746525091584772,0.44250983633349117,0.1327657699584961,0.0007940103640983198
1500,0.015229428187012672,0.015226544404868037,0.3857886557134384,0.13231411576271057,0.000786557053598752
2000,0.015453893691301346,0.013610093796160072,0.3448333154353617,0.21688443422317505,0.0007761995410555025
2500,0.012069717049598694,0.011926200764719397,0.3021692143963214,0.04637230187654495,0.0007630166621467794
3000,0.0105897830799222,0.011092098924564198,0.28103592117591725,0.13546983897686005,0.0007471087576827111
3500,0.010047966614365578,0.01025495061185211,0.2598254407407953,0.13878174126148224,0.0007285969098663901
4000,0.009752300567924976,0.009726445336127654,0.246434921235003,0.08706450462341309,0.0007076220206828628
4500,0.008879180997610092,0.008837088156724349,0.22390164634556692,0.09163795411586761,0.0006843437394308601
5000,0.007846727967262268,0.008422164886724204,0.2133889071250775,0.04023965075612068,0.0006589392475603059
5500,0.0074815587140619755,0.008051300304941833,0.20399246465899798,0.02090533822774887,0.0006316019100647533
6000,0.0071248868480324745,0.007866068655857816,0.19929932700441236,0.06467951089143753,0.000602539803693602
6500,0.0069591891951859,0.007757075945846736,0.1965378238058077,0.07878623902797699,0.0005719741331865385
7000,0.0073569840751588345,0.007850445719668642,0.1989034951340642,0.0320427343249321,0.0005401375475849468
7500,0.0070223091170191765,0.0072547705785837024,0.18381112054067966,0.06005755066871643,0.0005072723694356019
8000,0.007760093547403812,0.00714981320197694,0.18115185891495017,0.04607033357024193,0.0004736287503649697
8500,0.007170336786657572,0.007305446022655815,0.18509506330053604,0.09708414226770401,0.00043946276706286706
9000,0.006279835477471352,0.00688548234757036,0.1744546174218313,0.09132321178913116,0.0004050344721678036
9500,0.006313704885542393,0.006844926858320832,0.1734270797702566,0.07301461696624756,0.00037060591488959397
10000,0.0067378925159573555,0.006780771829653531,0.17180161035259264,0.0705452710390091,0.00033643914643516863
10500,0.0062779756262898445,0.006696835393086076,0.16967494758737703,0.04271774739027023,0.000302794225419184
11000,0.005270611494779587,0.006610991840716451,0.16749996501813724,0.04702802747488022,0.0002699272384411477
11500,0.007120479829609394,0.006514582259114832,0.16505727533786463,0.06298083811998367,0.00023808835089533263
12000,0.007877853699028492,0.006493916182080284,0.1645336674944803,0.04014090448617935,0.00020751990284964504
12500,0.005300918128341436,0.006391329399775714,0.16193446863576919,0.023211397230625153,0.00017845456448656265
13000,0.006024590227752924,0.0065133299212902784,0.16502554537254965,0.05704326555132866,0.00015111356514591328
13500,0.006758465431630611,0.0063642576860729605,0.1612485638264084,0.04751218855381012,0.00012570500944904378
14000,0.006044839043170214,0.006281085719820112,0.15914127012925994,0.018995147198438644,0.00010242229332111363
14500,0.006390174850821495,0.006306902825599536,0.15979538745675226,0.12458845227956772,8.144263196787907e-05
15000,0.006136786192655563,0.006252747873077169,0.15842328583091328,0.037563566118478775,6.292571101119699e-05
15500,0.006398436613380909,0.006242813775315881,0.15817158970609665,0.04489465802907944,4.70124710500627e-05
16000,0.005210057366639376,0.0061910178628750145,0.15685925810276688,0.02554522268474102,3.382403489843249e-05
16500,0.005788131151348352,0.006212554639205337,0.15740492649396268,0.05334017798304558,2.34607856651055e-05
17000,0.004769884981215,0.006167361949337646,0.15625989800893383,0.0714566558599472,1.6001602692813704e-05
17500,0.005610326305031776,0.006167745596030727,0.15626961830646538,0.056277744472026825,1.1503261172129552e-05
18000,0.005882984958589077,0.006163610552903265,0.15616485042958908,0.02415207400918007,1e-05
