step,training_mse_per_pixel,validation_mse_per_pixel,validation_normalized_fm_mse,gradient_norm_before_clip,learning_rate
1,0.012812367640435696,0.014363695925567299,0.364384789936007,0.07403651624917984,0.0005
250,0.013079025782644749,0.012866151926573366,0.32639441069649516,0.08037710934877396,0.0004988293771842077
500,0.012399043887853622,0.012403974367771298,0.3146696795722823,0.06994274258613586,0.0004953099763803568
750,0.011880189180374146,0.012142774590756744,0.3080434444882212,0.08481218665838242,0.0004894756809145428
1000,0.013414416462182999,0.012136060337070376,0.3078731142381405,0.08846714347600937,0.00048138269227966104
1250,0.01202554814517498,0.011784047121182084,0.2989430824141003,0.05414902791380882,0.0004711089698533135
1500,0.01123206876218319,0.011500746360979974,0.291756179507641,0.05747097358107567,0.0004587534799188042
1750,0.01164577528834343,0.011384818179067224,0.2888152605106892,0.07262331247329712,0.0004444352423276023
2000,0.012281499803066254,0.011106150137493387,0.2817458825235086,0.03946799784898758,0.0004282921839867294
2250,0.010927455499768257,0.01098290178924799,0.278619262208091,0.03941606730222702,0.00041047981021537336
2500,0.010766902938485146,0.010841793147847056,0.2750395538293087,0.058040279895067215,0.00039116970676948687
2750,0.011452235281467438,0.010789667372591794,0.27371720338656286,0.0809740200638771,0.0003705478869642978
3000,0.010287903249263763,0.010686980705941096,0.271112201188616,0.1084095910191536,0.00034881299981682156
3250,0.00888038706034422,0.010686736466595903,0.27110600521350253,0.038974933326244354,0.0003261744164692552
3500,0.01016506738960743,0.010502448683837429,0.2664309086815097,0.05301424115896225,0.0003028502133266446
3750,0.011544670909643173,0.010494941612705588,0.2662404658768454,0.05868332087993622,0.000279065071337166
4000,0.011115970090031624,0.010372087388532236,0.2631238438806589,0.061727456748485565,0.00025504811165115535
4250,0.009855210781097412,0.010288174555171281,0.2609951048488933,0.0806887298822403,0.00023103068850787947
4500,0.011314070783555508,0.010296873690094799,0.26121578847155963,0.05337418615818024,0.0002072441606110674
4750,0.010767907835543156,0.010204392485320568,0.2588696830855006,0.05010541155934334,0.00018391766246143499
5000,0.010004039853811264,0.010182379424804822,0.25831124572554504,0.10815934836864471,0.0001612758971148528
5250,0.010691455565392971,0.010139411606360227,0.2572212185083806,0.04523304104804993,0.00013953697162841312
5500,0.00854816660284996,0.010096792568219826,0.2561400393090617,0.059434834867715836,0.00011891029604544151
5750,0.009805753827095032,0.01010065947775729,0.25623813683401714,0.06302082538604736,9.959456615843174e-05
6000,0.00998561829328537,0.010065580456284806,0.2553482362167492,0.06731972098350525,8.177584948185345e-05
6250,0.010673334822058678,0.010001056245528162,0.25371135660692007,0.056722208857536316,6.562579287256614e-05
6500,0.010850338265299797,0.009988879435695708,0.25340244974089604,0.07608899474143982,5.12999690637468e-05
6750,0.0091263921931386,0.009967679128749296,0.25286463068420767,0.04120597243309021,3.893637804009344e-05
7000,0.009391958825290203,0.00994277818244882,0.252232932120417,0.035818178206682205,2.8654117690484705e-05
7250,0.010213708505034447,0.009936269954778254,0.2520678284322796,0.0653955489397049,2.0552236543636382e-05
7500,0.00913171749562025,0.009942249162122607,0.25221951169148016,0.05519809573888779,1.4708779638298838e-05
7750,0.010027503594756126,0.0099351946846582,0.2520405504894123,0.06899464875459671,1.1180036719081612e-05
8000,0.009496280923485756,0.00992399055394344,0.251756318990913,0.04021444544196129,1e-05
