step,training_mse_per_pixel,validation_mse_per_pixel,validation_normalized_fm_mse,gradient_norm_before_clip,learning_rate
1,0.11245449632406235,0.35214081313461065,8.933268769185668,4.001865863800049,0.001
250,0.03775334358215332,0.03685294382739812,0.9349022887046086,0.08729958534240723,0.000998959072236048
500,0.029055098071694374,0.030014427611604333,0.7614196900977614,0.12457815557718277,0.0009958240145679423
750,0.021580081433057785,0.02101649239193648,0.5331559652273135,0.43900129199028015,0.000990608237236033
1000,0.020040689036250114,0.018568990926723927,0.4710666316817537,0.43328818678855896,0.000983334078721192
1250,0.017524391412734985,0.01739222096512094,0.44121379453707077,0.09318539500236511,0.0009740326932772352
1500,0.016345713287591934,0.01654970843810588,0.41984055245747615,0.055929940193891525,0.0009627439175013938
1750,0.016202988103032112,0.01590363762807101,0.4034507334569709,0.048347584903240204,0.0009495160997194666
2000,0.016517367213964462,0.015461816627066582,0.39224241677618205,0.05472128093242645,0.0009344058929163672
2250,0.014647342264652252,0.014653585327323526,0.37173883650668066,0.03874208405613899,0.0009174780120989222
2500,0.01363801397383213,0.013907539774663746,0.3528128126339016,0.08094530552625656,0.0008988049571301013
2750,0.013529129326343536,0.012776928662788123,0.32413095424348576,0.1154726892709732,0.0008784667022217419
3000,0.011339734308421612,0.012009081488940865,0.3046518569000741,0.09495942294597626,0.0008565503534156333
3250,0.00951327383518219,0.01123758713947609,0.28508023634201535,0.04173308238387108,0.0008331497755199211
3500,0.010134963318705559,0.010658933664672077,0.27040069105263864,0.040556900203228,0.0008083651900986115
3750,0.010991900227963924,0.010157354845432565,0.2576764107815968,0.05284922197461128,0.0007823027462359385
4000,0.010899032466113567,0.01003081031376496,0.2544661713816403,0.06057346239686012,0.0007550740659139487
4250,0.009596149437129498,0.009703047893708572,0.24615134480775158,0.09756128489971161,0.0007267957659503921
4500,0.010565554723143578,0.009446148294955492,0.23963419860726293,0.048824794590473175,0.0006975889585443955
4750,0.009939347393810749,0.009341792581835762,0.23698685527718938,0.05436000972986221,0.0006675787325690168
5000,0.009014609269797802,0.009065187739906833,0.2299698174796857,0.056164976209402084,0.000636893617832231
5250,0.009270422160625458,0.008911606593756005,0.22607370091133874,0.02553064562380314,0.0006056650346008516
5500,0.007708017714321613,0.008960686973296106,0.2273187943664895,0.06177924573421478,0.0005740267307449998
5750,0.008531874977052212,0.008766578190261498,0.22239455421985008,0.047333989292383194,0.0005421142089137591
6000,0.008590939454734325,0.00881480163661763,0.22361790860311795,0.03875919431447983,0.0005100641461953439
6250,0.008809598162770271,0.008622578490758315,0.21874150416043486,0.032456204295158386,0.00047801380874730226
6500,0.009626628831028938,0.008609728218289092,0.21841551258705552,0.04499257355928421,0.0004461004639038128
6750,0.007748597301542759,0.008419713121838868,0.21359512294893732,0.03991001844406128,0.00041446079227794227
7000,0.00824099499732256,0.008339255378814414,0.21155403422479457,0.06666235625743866,0.0003832303023767508
7250,0.009095623157918453,0.008249195001553744,0.20926934149530887,0.08859021216630936,0.00035254275023637315
7500,0.007454577833414078,0.00830823220894672,0.21076702430102787,0.043298788368701935,0.00032252956656269823
7750,0.008058005943894386,0.008126800501486287,0.2061643819899341,0.07127207517623901,0.0002933192938311301
8000,0.007686972618103027,0.008127217937726527,0.20617497170288124,0.054205521941185,0.00026503703575625443
8250,0.00673667062073946,0.008107844536425546,0.20568349842191053,0.04209214821457863,0.00023780392148926348
8500,0.006795499473810196,0.008048458694247529,0.20417697128994225,0.031045082956552505,0.0002117365868379038
8750,0.007681469898670912,0.007920064992504194,0.20091982130004482,0.042883023619651794,0.00018694667473081938
9000,0.00869474932551384,0.008021291607292369,0.2034877842363714,0.04504837840795517,0.00016354035706573174
9250,0.008191372267901897,0.007821072125807405,0.19840852510417745,0.035410135984420776,0.00014161787998931633
9500,0.007757069543004036,0.007810817041900009,0.19814836945797493,0.03670467436313629,0.00012127313455628518
9750,0.007640393916517496,0.007839787867851555,0.1988833145851435,0.030333708971738815,0.00010259325460648188
10000,0.006257371976971626,0.007781495252856985,0.19740452093901734,0.04061837121844292,8.56582435822305e-05
10250,0.007623706478625536,0.0077747146133333445,0.19723250658273628,0.03765498846769333,7.054063188422807e-05
10500,0.007164456881582737,0.007744292262941599,0.19646073852148654,0.027361512184143066,5.730516623348162e-05
10750,0.008089176379144192,0.007728064840193838,0.19604907385942552,0.035842414945364,4.6008532369710365e-05
11000,0.007117171306163073,0.007712594873737544,0.19565662469406414,0.03767877444624901,3.669911227385862e-05
11250,0.00710111390799284,0.007711564074270427,0.19563047490300492,0.03193686902523041,2.941677695450398e-05
11500,0.00802359264343977,0.0077026607759762555,0.1954046119708271,0.03163532540202141,2.4192715685628438e-05
11750,0.008927817456424236,0.007693445950280875,0.19517084606943877,0.03424215689301491,2.104930242710462e-05
12000,0.006956018507480621,0.007685042568482459,0.1949576652469516,0.029670437797904015,2e-05
