t,fm_mse_per_pixel,zero_predictor_mse_per_pixel,normalized_fm_mse,target_velocity_rms,predicted_velocity_rms,cosine_alignment,spatial_frequency_diagnostics
0.0,0.06322939693927765,0.06811457127332687,0.9282800398985669,0.26098768414108525,0.09807009744905482,0.28331450738158886,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.319103866815567, 'target_energy': 0.4717845916748047, 'error_fraction_of_target': 0.6763761946586025}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.059055011719465256, 'target_energy': 0.055576764047145844, 'error_fraction_of_target': 1.0625845662652977}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.05011682212352753, 'target_energy': 0.04848814383149147, 'error_fraction_of_target': 1.0335892068315942}]"
0.05,0.01925615221261978,0.06713394075632095,0.28683184683757346,0.2591021820755683,0.22191556908878848,0.8445767087126042,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.31545114517211914, 'target_energy': 0.4742017984390259, 'error_fraction_of_target': 0.6652255352268148}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.027036454528570175, 'target_energy': 0.05454405024647713, 'error_fraction_of_target': 0.4956810945721142}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0018310501473024487, 'target_energy': 0.04733278602361679, 'error_fraction_of_target': 0.03868460534710216}]"
0.1,0.016030099242925644,0.06376487016677856,0.25139389762730685,0.252517069060249,0.21533672820697133,0.8653112791965094,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.2841603755950928, 'target_energy': 0.47144174575805664, 'error_fraction_of_target': 0.6027475889691863}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.01833353564143181, 'target_energy': 0.05169891566038132, 'error_fraction_of_target': 0.3546212799097726}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0011001676321029663, 'target_energy': 0.043837420642375946, 'error_fraction_of_target': 0.025096541173763236}]"
0.15,0.014232877641916275,0.05859724059700966,0.2428933085740322,0.2420686691767641,0.21079263304336615,0.8701189710540153,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.25793856382369995, 'target_energy': 0.47137451171875, 'error_fraction_of_target': 0.5472051572818205}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.014627453871071339, 'target_energy': 0.04600831866264343, 'error_fraction_of_target': 0.31793063289983114}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0009655431495048106, 'target_energy': 0.03848674148321152, 'error_fraction_of_target': 0.025087682466596834}]"
0.2,0.012017632834613323,0.05171262472867966,0.23239262941430977,0.22740410007007275,0.19494483674905175,0.8763397717402097,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.21631652116775513, 'target_energy': 0.46100106835365295, 'error_fraction_of_target': 0.469232147205806}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.012473559007048607, 'target_energy': 0.039430342614650726, 'error_fraction_of_target': 0.31634416999496057}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0008733145659789443, 'target_energy': 0.03173644468188286, 'error_fraction_of_target': 0.027517718973653238}]"
0.25,0.011980719864368439,0.044338077306747437,0.2702128868033976,0.21056608774146762,0.17392581166476498,0.8547600984611564,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.2213352620601654, 'target_energy': 0.4560635983943939, 'error_fraction_of_target': 0.48531665942950236}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.01130976527929306, 'target_energy': 0.031906403601169586, 'error_fraction_of_target': 0.3544669408895235}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0007633268251083791, 'target_energy': 0.02425653114914894, 'error_fraction_of_target': 0.03146891945986931}]"
0.3,0.012092542834579945,0.036523811519145966,0.331086552350676,0.1911120391789747,0.14889664912219394,0.8188356818689457,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.23045942187309265, 'target_energy': 0.44223541021347046, 'error_fraction_of_target': 0.5211238551925277}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.01008756086230278, 'target_energy': 0.02397773414850235, 'error_fraction_of_target': 0.42070534270782417}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0006247045239433646, 'target_energy': 0.016788305714726448, 'error_fraction_of_target': 0.037210695025370145}]"
0.35,0.013070039451122284,0.030222008004784584,0.4324676060258176,0.17384478135619885,0.12408003679519304,0.7544464036495582,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.2572750449180603, 'target_energy': 0.44467195868492126, 'error_fraction_of_target': 0.5785726756392037}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.009350496344268322, 'target_energy': 0.017519742250442505, 'error_fraction_of_target': 0.5337119810670817}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0005083844298496842, 'target_energy': 0.010041119530797005, 'error_fraction_of_target': 0.05063025375710588}]"
0.4,0.013932432979345322,0.02449318766593933,0.568828899258385,0.15650299570915355,0.09235382048564723,0.660386281063029,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.28274309635162354, 'target_energy': 0.43157505989074707, 'error_fraction_of_target': 0.6551423440066249}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.008266409859061241, 'target_energy': 0.011974262073636055, 'error_fraction_of_target': 0.6903481657764566}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.000385007617296651, 'target_energy': 0.004678646102547646, 'error_fraction_of_target': 0.08229039103577512}]"
0.45,0.015898803249001503,0.02124708518385887,0.7482816165804999,0.14576379929138397,0.06466713329594682,0.5055161870292819,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.33010298013687134, 'target_energy': 0.43209415674209595, 'error_fraction_of_target': 0.7639607594460017}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.007857111282646656, 'target_energy': 0.008660144172608852, 'error_fraction_of_target': 0.9072725726088825}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.00031634775223210454, 'target_energy': 0.0012407611357048154, 'error_fraction_of_target': 0.25496265407475305}]"
