t,fm_mse_per_pixel,zero_predictor_mse_per_pixel,normalized_fm_mse,target_velocity_rms,predicted_velocity_rms,cosine_alignment,spatial_frequency_diagnostics
0.0,0.061126191169023514,0.0630941167473793,0.9688096817927556,0.2511854230391949,0.09841045015553376,0.23569764813138713,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.27803105115890503, 'target_energy': 0.3677128553390503, 'error_fraction_of_target': 0.7561091409288533}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.05652107298374176, 'target_energy': 0.05217774584889412, 'error_fraction_of_target': 1.0832409883597856}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.05020060017704964, 'target_energy': 0.04854270815849304, 'error_fraction_of_target': 1.0341532658858574}]"
0.05,0.017005756497383118,0.06233248859643936,0.27282332023487577,0.24966475241098685,0.2212560529742952,0.853378440519736,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.2669309377670288, 'target_energy': 0.37703731656074524, 'error_fraction_of_target': 0.7079695458314749}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.025953536853194237, 'target_energy': 0.05135754123330116, 'error_fraction_of_target': 0.5053500660262429}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0018783127889037132, 'target_energy': 0.0472453273832798, 'error_fraction_of_target': 0.039756583199557875}]"
0.1,0.014142606407403946,0.059073157608509064,0.2394083367124226,0.24304970193050857,0.21392761317450626,0.8721559101080104,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.2447803020477295, 'target_energy': 0.3775048851966858, 'error_fraction_of_target': 0.6484162500842744}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.017130225896835327, 'target_energy': 0.04778646305203438, 'error_fraction_of_target': 0.3584744465850576}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0011211070232093334, 'target_energy': 0.04383969306945801, 'error_fraction_of_target': 0.02557287573690565}]"
0.15,0.01250352431088686,0.053559310734272,0.23345192720872704,0.23142884594248833,0.2092835432977614,0.8759853518076398,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.2206493318080902, 'target_energy': 0.36829784512519836, 'error_fraction_of_target': 0.5991056823400179}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.013827829621732235, 'target_energy': 0.04274255037307739, 'error_fraction_of_target': 0.32351437855336973}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.000996231916360557, 'target_energy': 0.03844214975833893, 'error_fraction_of_target': 0.025915093786981903}]"
0.2,0.009989350102841854,0.046801336109638214,0.21344155815211135,0.2163361645902927,0.19302877426968335,0.8868975201605609,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.17333880066871643, 'target_energy': 0.3609672486782074, 'error_fraction_of_target': 0.4802064489325549}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.011323338374495506, 'target_energy': 0.03597327694296837, 'error_fraction_of_target': 0.3147708337065706}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.000906129484064877, 'target_energy': 0.031717199832201004, 'error_fraction_of_target': 0.028569025287816414}]"
0.25,0.00958646647632122,0.039135582745075226,0.2449552505392952,0.19782715371019022,0.17328482815941096,0.8689611665736535,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.1704697459936142, 'target_energy': 0.3490116596221924, 'error_fraction_of_target': 0.48843567626980977}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.010018057189881802, 'target_energy': 0.028508353978395462, 'error_fraction_of_target': 0.3514077732258342}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0007975100306794047, 'target_energy': 0.02424798160791397, 'error_fraction_of_target': 0.03288974907582065}]"
0.3,0.009101673029363155,0.0313953161239624,0.2899054430102178,0.177187234652958,0.15156943438092593,0.8427661685078836,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.16657868027687073, 'target_energy': 0.336605042219162, 'error_fraction_of_target': 0.49487874328517073}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.008595159277319908, 'target_energy': 0.020628251135349274, 'error_fraction_of_target': 0.4166693153444768}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0006642458029091358, 'target_energy': 0.016785312443971634, 'error_fraction_of_target': 0.039573037745132746}]"
0.35,0.009543095715343952,0.025240259245038033,0.3780902415738865,0.15887183276162592,0.1307447201631965,0.7893292318224606,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.1820811778306961, 'target_energy': 0.3431393504142761, 'error_fraction_of_target': 0.5306333348561375}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.007625864818692207, 'target_energy': 0.014020713977515697, 'error_fraction_of_target': 0.543899892039836}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0005413334001787007, 'target_energy': 0.010023688897490501, 'error_fraction_of_target': 0.05400540716244966}]"
0.4,0.0096841249614954,0.01958281546831131,0.4945215858856527,0.1399386132141923,0.10223371363383203,0.7112327338016136,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.19269733130931854, 'target_energy': 0.33078667521476746, 'error_fraction_of_target': 0.5825426044873402}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.006159768905490637, 'target_energy': 0.008705927059054375, 'error_fraction_of_target': 0.7075373896091087}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.00040134452865459025, 'target_energy': 0.004667778965085745, 'error_fraction_of_target': 0.08598190523942638}]"
0.45,0.010288495570421219,0.016199247911572456,0.6351218048259697,0.12727626609691398,0.07764722045311573,0.6040812019052343,"[{'minimum_frequency': 0.0, 'maximum_frequency': 0.125, 'error_energy': 0.21097442507743835, 'target_energy': 0.32827746868133545, 'error_fraction_of_target': 0.6426710487469819}, {'minimum_frequency': 0.125, 'maximum_frequency': 0.25, 'error_energy': 0.005180349573493004, 'target_energy': 0.005356615409255028, 'error_fraction_of_target': 0.9670938041477691}, {'minimum_frequency': 0.25, 'maximum_frequency': inf, 'error_energy': 0.0003307790611870587, 'target_energy': 0.0012307619908824563, 'error_fraction_of_target': 0.2687595681679202}]"
