model_seed,left,right,projection_distance,largest_angle_deg,angles_deg
20260810,default,smoothstep,0.0653728346862624,6.379569931538559,"[0.0, 1.24800771835262, 6.379569931538559]"
20260810,default,cosine,0.08120011532911339,7.950876537005251,"[0.0, 1.4573630630556615, 7.950876537005251]"
20260810,smoothstep,cosine,0.017109544960778485,1.6818457714603996,"[0.0, 0.23494560862709477, 1.6818457714603996]"
20260811,default,smoothstep,0.5666977634449727,76.67031684164893,"[2.0913097891518726e-06, 7.401312281310995, 76.67031684164893]"
20260811,default,cosine,0.566691067242039,76.56984691161122,"[0.0, 7.571356319960247, 76.56984691161122]"
20260811,smoothstep,cosine,0.0047566326731185195,0.445017589134228,"[1.9090959104164224e-06, 0.15744627957247545, 0.445017589134228]"
20260812,default,smoothstep,0.0869741131847275,8.236050428744479,"[1.4787793334710982e-06, 2.6714969042260024, 8.236050428744479]"
20260812,default,cosine,0.09710577950384056,8.494017922847176,"[1.7075472925031877e-06, 4.614177814226441, 8.494017922847176]"
20260812,smoothstep,cosine,0.08152486186616473,7.1153713677592805,"[0.0, 3.8871547276645946, 7.1153713677592805]"
20260813,default,smoothstep,0.07297958345412504,6.6077228467532505,"[0.0, 2.9987176525929486, 6.6077228467532505]"
20260813,default,cosine,0.07697698265628539,7.158450118828839,"[0.0, 2.717457580907822, 7.158450118828839]"
20260813,smoothstep,cosine,0.010840233296370318,0.980913929774845,"[8.537736462515939e-07, 0.44181436825185466, 0.980913929774845]"
20260814,default,smoothstep,0.06739093743732848,6.632642330184041,"[2.4148365394514667e-06, 0.9650256869101306, 6.632642330184041]"
20260814,default,cosine,0.06598734823150905,6.48040450295106,"[0.0, 1.0327213786829292, 6.48040450295106]"
20260814,smoothstep,cosine,0.0068707733665701485,0.6444224627304572,"[3.1945284701301985e-06, 0.22283840699750743, 0.6444224627304572]"
20260815,default,smoothstep,0.04997089541256086,3.9769497670606477,"[2.0913097891518726e-06, 2.968084264655174, 3.9769497670606477]"
20260815,default,cosine,0.054845841807164855,4.376750629374546,"[8.537736462515939e-07, 3.243024739974905, 4.376750629374546]"
20260815,smoothstep,cosine,0.005430260322982515,0.46229891647617666,"[0.0, 0.2769340011756645, 0.46229891647617666]"
20260816,default,smoothstep,0.06130236965685743,6.0743038110146985,"[0.0, 0.5010340229149131, 6.0743038110146985]"
20260816,default,cosine,0.06731695009766915,6.663114798604869,"[0.0, 0.6569028273998806, 6.663114798604869]"
20260816,smoothstep,cosine,0.007381135626449511,0.6097944513566771,"[1.7075472925031877e-06, 0.4058581609692587, 0.6097944513566771]"
20260817,default,smoothstep,0.5092613539693319,61.452368766952304,"[1.2074182697257333e-06, 4.5955456129871495, 61.452368766952304]"
20260817,default,cosine,0.4862853380974016,57.115804308628114,"[1.4787793334710982e-06, 3.718986569267769, 57.115804308628114]"
20260817,smoothstep,cosine,0.04896385254066833,4.658653306948121,"[2.4148365394514667e-06, 1.3986788314943637, 4.658653306948121]"
20260818,default,smoothstep,0.21560258439574695,21.90690806477611,"[0.0, 0.9061014670421669, 21.90690806477611]"
20260818,default,cosine,0.23887705241508345,24.409167993787555,"[2.831646840510158e-06, 1.1617245560789422, 24.409167993787555]"
20260818,smoothstep,cosine,0.025548686762019362,2.5041456357774137,"[0.0, 0.40207054131781683, 2.5041456357774137]"
20260819,default,smoothstep,0.12333346312765672,11.961226962647393,"[1.4787793334710982e-06, 2.968001435292464, 11.961226962647393]"
20260819,default,cosine,0.13139730243392178,12.7295013145289,"[0.0, 3.2642577256339953, 12.7295013145289]"
20260819,smoothstep,cosine,0.009611055503805083,0.8896367794729879,"[2.0913097891518726e-06, 0.3439962340659859, 0.8896367794729879]"
